harder | negative: 0.000030
shortcomings | deceptive: 0.000036
normal | negative: 0.000151
downfall | truthful: 0.000017
potential | positive: 0.000022
spoil | positive: 0.000043
appease | truthful: 0.000035
canine | deceptive: 0.000036
polished | deceptive: 0.000054
negatives | deceptive: 0.000036
along | negative: 0.000196
fussy | positive: 0.000043
accounting | deceptive: 0.000018
granddaughters | deceptive: 0.000018
unconcerned | deceptive: 0.000018
straighten | deceptive: 0.000018
communication | negative: 0.000030
resturant | truthful: 0.000052
gladly | positive: 0.000065
influence | negative: 0.000030
pushy | negative: 0.000030
started | positive: 0.000151
150night | deceptive: 0.000018
insult | negative: 0.000060
talented | positive: 0.000043
sht | negative: 0.000030
999 | deceptive: 0.000018
situated | negative: 0.000045
foul | positive: 0.000022
happiness | truthful: 0.000017
directed | deceptive: 0.000054
everyday | positive: 0.000043
produce | positive: 0.000022
acceptable | negative: 0.000075
mostand | positive: 0.000022
minds | negative: 0.000045
timecrunch | deceptive: 0.000036
liberty | negative: 0.000015
pamper | positive: 0.000043
112 | negative: 0.000015
mildew | deceptive: 0.000054
gourmand | deceptive: 0.000018
presumably | deceptive: 0.000054
ameliorate | truthful: 0.000017
highest | deceptive: 0.000109
recieved | negative: 0.000045
facial | positive: 0.000065
cta | deceptive: 0.000018
alludes | positive: 0.000022
rattling | deceptive: 0.000036
chriskindl | positive: 0.000043
scream | positive: 0.000022
commercial | positive: 0.000022
detract | deceptive: 0.000036
5th | positive: 0.000130
carpets | truthful: 0.000157
coloring | negative: 0.000030
communication | truthful: 0.000035
stains | positive: 0.000022
perla | positive: 0.000043
years | truthful: 0.000470
favor | positive: 0.000022
secured | negative: 0.000030
treasures | truthful: 0.000035
scampering | negative: 0.000030
lonely | deceptive: 0.000018
calling | truthful: 0.000105
interact | positive: 0.000043
doormenbellmenconciergevalet | positive: 0.000022
coming | positive: 0.000260
hmm | deceptive: 0.000036
1508 | positive: 0.000043
aready | deceptive: 0.000018
features | positive: 0.000216
cd | truthful: 0.000035
celebrating | deceptive: 0.000036
bouquet | negative: 0.000015
rooming | positive: 0.000043
dayone | positive: 0.000043
gone | positive: 0.000108
clue | positive: 0.000043
neighborhoodi | positive: 0.000043
reviewed | negative: 0.000030
thd | positive: 0.000022
ambassador | negative: 0.000287
brands | negative: 0.000030
stereo | positive: 0.000043
perks | negative: 0.000030
climate | negative: 0.000030
refunded | negative: 0.000030
overnight | deceptive: 0.000036
pineapple | negative: 0.000030
additionally | deceptive: 0.000073
repaired | negative: 0.000030
occupied | deceptive: 0.000036
questionable | truthful: 0.000017
paying | positive: 0.000065
providing | positive: 0.000022
rudely | truthful: 0.000087
ruffled | truthful: 0.000017
sufficient | positive: 0.000043
mustve | deceptive: 0.000036
40degrees | deceptive: 0.000018
given | truthful: 0.000540
plus | truthful: 0.000331
staffgreat | truthful: 0.000035
vehicle | negative: 0.000045
cloud | negative: 0.000060
floorabsolutely | truthful: 0.000035
luggage | negative: 0.000362
40degrees | negative: 0.000030
hi | deceptive: 0.000036
treated | deceptive: 0.000363
protector | negative: 0.000030
remarked | negative: 0.000030
cheesy | truthful: 0.000052
9am | positive: 0.000043
sons | deceptive: 0.000036
table | truthful: 0.000244
flexible | negative: 0.000030
deskdesk | positive: 0.000022
washcloth | positive: 0.000022
dismayed | positive: 0.000022
fan | deceptive: 0.000018
royal | positive: 0.000022
bfast | deceptive: 0.000018
attempting | negative: 0.000030
test | positive: 0.000087
hallways | truthful: 0.000261
insistence | positive: 0.000022
redeem | positive: 0.000022
flooded | deceptive: 0.000018
asking | deceptive: 0.000200
remodel | deceptive: 0.000036
sp | negative: 0.000030
jerk | negative: 0.000030
comfortal | truthful: 0.000017
three | positive: 0.000454
appreciated | deceptive: 0.000109
sophistication | truthful: 0.000017
notes | deceptive: 0.000036
minute | positive: 0.000411
spray | positive: 0.000043
abruptly | positive: 0.000022
opens | negative: 0.000030
shortcomings | positive: 0.000022
dearborn | deceptive: 0.000018
jogging | deceptive: 0.000054
thereof | negative: 0.000045
guide | truthful: 0.000035
messages | deceptive: 0.000018
precious | positive: 0.000022
lol | deceptive: 0.000018
trolleyed | deceptive: 0.000018
appetizer | negative: 0.000030
know | positive: 0.000541
fitzpatrick | deceptive: 0.000018
74 | negative: 0.000045
gives | positive: 0.000087
uk | negative: 0.000030
terrific | truthful: 0.000105
gray | truthful: 0.000035
eating | deceptive: 0.000127
ate | positive: 0.000303
fifth | negative: 0.000045
character | truthful: 0.000017
distasteful | deceptive: 0.000054
understaffing | negative: 0.000030
hired | deceptive: 0.000018
shelves | positive: 0.000022
dreaded | positive: 0.000043
troubleshooting | positive: 0.000022
patrons | positive: 0.000022
